Star Wars: Episode IV - A New Hope,"$307,263,857"
Smokey and the Bandit,"$126,737,428"
Close Encounters of the Third Kind,"$116,395,460"
Saturday Night Fever,"$94,213,184"
A Bridge Too Far,"$50,750,000"
The Deep,"$47,346,365"
The Spy Who Loved Me,"$46,838,673"
"Oh, God!","$41,687,243"
Annie Hall,"$38,251,425"
Semi-Tough,"$37,187,139"
Pete's Dragon,"$35,488,000"
Heroes,"$33,500,000"
High Anxiety,"$31,063,038"
Exorcist II: The Heretic,"$30,749,142"
The Rescuers,"$29,000,000"
Herbie Goes to Monte Carlo,"$28,000,000"
Slap Shot,"$28,000,000"
The Gauntlet,"$26,414,658"
The Turning Point,"$25,933,445"
Freaky Friday,"$25,642,000"
The Other Side of Midnight,"$24,652,021"
Looking for Mr. Goodbar,"$22,512,655"
Julia,"$20,714,400"
The Bad News Bears in Breaking Training,"$19,104,350"
For the Love of Benji,"$17,732,000"
"New York, New York","$16,400,000"
Black Sunday,"$15,769,322"
Orca,"$14,717,854"
Bobby Deerfield,"$9,300,000"
Islands in the Stream,"$5,596,173"
"Race for Your Life, Charlie Brown","$3,223,888"
March or Die,"$1,000,000"
Joseph Andrews,"$839,865"
Citizens Band,"$815,530"
Fraternity Row,"$290,674"
Grease,"$159,978,870"
Superman,"$134,218,018"
National Lampoon's Animal House,"$120,091,123"
Every Which Way But Loose,"$85,196,485"
Heaven Can Wait,"$81,640,278"
Hooper,"$78,000,000"
Jaws 2,"$77,737,272"
Revenge of the Pink Panther,"$49,579,269"
The Deer Hunter,"$48,979,328"
Halloween,"$47,000,000"
Foul Play,"$44,999,621"
The End,"$44,917,151"
Up in Smoke,"$44,364,244"
Midnight Express,"$35,000,000"
Coming Home,"$32,653,905"
The Lord of the Rings,"$30,471,420"
House Calls,"$28,460,702"
Damien: Omen II,"$26,518,355"
Invasion of the Body Snatchers,"$24,946,533"
Convoy,"$22,765,081"
The Wiz,"$21,049,053"
F.I.S.T.,"$20,388,920"
Sgt. Pepper's Lonely Hearts Club Band,"$20,378,470"
Eyes of Laura Mars,"$20,000,000"
The One and Only,"$16,928,137"
Return from Witch Mountain,"$16,393,000"
Corvette Summer,"$15,514,367"
The Greek Tycoon,"$14,672,713"
Death on the Nile,"$14,560,084"
The Buddy Holly Story,"$14,363,400"
The Big Fix,"$13,062,708"
The Other Side of the Mountain: Part II,"$11,565,678"
Moment by Moment,"$10,963,824"
Interiors,"$10,432,366"
Straight Time,"$9,900,000"
Comes a Horseman,"$9,585,769"
American Hot Wax,"$7,932,571"
