Wikipedia movie ID,Freebase_movie_ID,Movie_name,Movie_release_date,Movie_box_office_revenue,Movie_runtime,Movie_languages,Movie_countries,Movie_genres,Movie_languages_clean,Movie_countries_clean,Movie_genres_clean,Movie_release_year,Movie_release_date_datetime,movie_title,movie_revenue,budget,id,release_date,language_count
2255067,06zlpj,Vegas Vacation,1997-02-14,36400360.0,93.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01z4y"": ""Comedy"", ""/m/09q17"": ""Slapstick""}",['English Language'],['United States of America'],"['Comedy', 'Slapstick']",1997,1997-02-14,Vegas Vacation,36400360.0,25000000.0,11419,1997-02-13,1
246963,01kqq7,Wild at Heart,1990-05,14560247.0,124.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/01jfsb"": ""Thriller"", ""/m/068d7h"": ""Romantic drama"", ""/m/0219x_"": ""Indie"", ""/m/04228s"": ""Road movie"", ""/m/07s9rl0"": ""Drama"", ""/m/0vgkd"": ""Black comedy"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/02l7c8"": ""Romance Film""}",['English Language'],['United States of America'],"['Crime Fiction', 'Thriller', 'Romantic drama', 'Indie', 'Road movie', 'Drama', 'Black comedy', 'Crime Thriller', 'Romance Film']",1990,1990-05-01,Wild at Heart,14560247.0,9500000.0,483,1990-05-01,1
1625624,05hp3p,Year of the Dragon,1985-08-16,18707466.0,134.0,"{""/m/0653m"": ""Standard Mandarin"", ""/m/05qqm"": ""Polish Language"", ""/m/02h40lc"": ""English Language"", ""/m/03115z"": ""Mandarin Chinese"", ""/m/012w70"": ""Cantonese""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/0gw5w78"": ""Gangster Film"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01jfsb"": ""Thriller"", ""/m/07s9rl0"": ""Drama"", ""/m/02kdv5l"": ""Action""}","['Standard Mandarin', 'Polish Language', 'English Language', 'Mandarin Chinese', 'Cantonese']",['United States of America'],"['Crime Fiction', 'Action Thrillers', 'Gangster Film', 'Action/Adventure', 'Thriller', 'Drama', 'Action']",1985,1985-08-16,Year of the Dragon,18707466.0,24000000.0,11018,1985-08-16,5
6470956,0g6kfj,Man of the Year,2006-10-13,41237658.0,115.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0gf28"": ""Parody"", ""/m/06nbt"": ""Satire"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/0cshrf"": ""Political cinema""}",['English Language'],['United States of America'],"['Thriller', 'Parody', 'Satire', 'Drama', 'Comedy', 'Political cinema']",2006,2006-10-13,Man of the Year,37327390.0,20000000.0,9895,2006-10-09,1
689611,032zq6,What Dreams May Come,1998-09-28,71485043.0,113.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0ctw_b"": ""New Zealand""}","{""/m/01hmnh"": ""Fantasy"", ""/m/07s9rl0"": ""Drama"", ""/m/060__y"": ""Film adaptation"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/03rzvv"": ""Romantic fantasy""}",['English Language'],"['United States of America', 'New Zealand']","['Fantasy', 'Drama', 'Film adaptation', 'Romantic drama', 'Romance Film', 'Romantic fantasy']",1998,1998-09-28,What Dreams May Come,55382927.0,85000000.0,12159,1998-10-02,1
13149,03fts,Galaxy Quest,1999-12-23,90683916.0,102.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action"", ""/m/03k9fj"": ""Adventure"", ""/m/01z4y"": ""Comedy""}",['English Language'],['United States of America'],"['Science Fiction', 'Action', 'Adventure', 'Comedy']",1999,1999-12-23,Galaxy Quest,71583916.0,45000000.0,926,1999-12-23,1
2569417,07nnp_,Color of Night,1994-08-19,19750470.0,121.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0219x_"": ""Indie"", ""/m/0glj9q"": ""Erotic thriller"", ""/m/09blyk"": ""Psychological thriller"", ""/m/02n4kr"": ""Mystery"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/02js9"": ""Erotica""}",['English Language'],['United States of America'],"['Thriller', 'Indie', 'Erotic thriller', 'Psychological thriller', 'Mystery', 'Crime Thriller', 'Erotica']",1994,1994-08-19,Color of Night,19726050.0,40000000.0,2124,1994-08-19,1
642694,02zvq2,Beethoven's 2nd,1993-12-17,118243066.0,89.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hqxf"": ""Family Film"", ""/m/0hj3mtj"": ""Animal Picture"", ""/m/01z4y"": ""Comedy"", ""/m/0hj3n26"": ""Family-Oriented Adventure"", ""/m/0hj3myq"": ""Children's/Family""}",['English Language'],['United States of America'],"['Family Film', 'Animal Picture', 'Comedy', 'Family-Oriented Adventure', ""Children's/Family""]",1993,1993-12-17,Beethoven's 2nd,53443066.0,15000000.0,10438,1993-12-14,1
30714098,0gfhz5k,The Cold Light of Day,2012-04-06,16863583.0,93.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/02kdv5l"": ""Action""}",['English Language'],['United States of America'],"['Thriller', 'Action/Adventure', 'Action']",2012,2012-04-06,The Cold Light of Day,3763583.0,20000000.0,77948,2012-04-04,1
1745339,05spkm,A Lot Like Love,2005-04-21,42886719.0,107.0,"{""/m/02h40lc"": ""English Language"", ""/m/0my5"": ""American Sign Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/07s9rl0"": ""Drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/01t_vv"": ""Comedy-drama"", ""/m/01z4y"": ""Comedy""}","['English Language', 'American Sign Language']",['United States of America'],"['Romantic comedy', 'Drama', 'Romance Film', 'Comedy-drama', 'Comedy']",2005,2005-04-21,A Lot Like Love,21845719.0,30000000.0,8976,2005-04-22,2
3230282,08_yld,Club Dread,2004-02-27,7565807.0,104.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0gf28"": ""Parody"", ""/m/03npn"": ""Horror"", ""/m/0219x_"": ""Indie"", ""/m/01z4y"": ""Comedy"", ""/m/0vgkd"": ""Black comedy"", ""/m/01585b"": ""Slasher"", ""/m/0hj3n7f"": ""Horror Comedy""}",['English Language'],['United States of America'],"['Parody', 'Horror', 'Indie', 'Comedy', 'Black comedy', 'Slasher', 'Horror Comedy']",2004,2004-02-27,Club Dread,5001708.0,8500000.0,11217,2004-02-27,1
1277918,04pk1f,Charlie and the Chocolate Factory,2005-07-10,474968763.0,115.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/03k9fj"": ""Adventure"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/0jdm8"": ""Remake"", ""/m/01hmnh"": ""Fantasy"", ""/m/0hj3myc"": ""Children's Fantasy"", ""/m/0hqxf"": ""Family Film"", ""/m/01z4y"": ""Comedy""}",['English Language'],"['United States of America', 'United Kingdom']","['Adventure', ""Children's/Family"", 'Remake', 'Fantasy', ""Children's Fantasy"", 'Family Film', 'Comedy']",2005,2005-07-10,Charlie and the Chocolate Factory,206459076.0,150000000.0,118,2005-07-13,1
2244052,06ys2z,Arlington Road,1999-03-19,41067311.0,117.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/02kdv5l"": ""Action"", ""/m/09blyk"": ""Psychological thriller""}",['English Language'],['United States of America'],"['Thriller', 'Crime Thriller', 'Action', 'Psychological thriller']",1999,1999-03-19,Arlington Road,24756177.0,21500000.0,1073,1999-03-19,1
733927,036r3f,Outbreak,1995-03-06,189859560.0,127.0,"{""/m/064_8sq"": ""French Language"", ""/m/02hwhyv"": ""Korean Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/07s9rl0"": ""Drama"", ""/m/01drsx"": ""Disaster"", ""/m/02kdv5l"": ""Action""}","['French Language', 'Korean Language', 'English Language']",['United States of America'],"['Thriller', 'Science Fiction', 'Action Thrillers', 'Drama', 'Disaster', 'Action']",1995,1995-03-06,Outbreak,67659560.0,50000000.0,6950,1995-03-10,3
7200857,0kv09p,I Think I Love My Wife,2007-03-16,13196245.0,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/0gsy3b"": ""Sex comedy"", ""/m/02l7c8"": ""Romance Film"", ""/m/01z4y"": ""Comedy""}",['English Language'],['United States of America'],"['Romantic comedy', 'Sex comedy', 'Romance Film', 'Comedy']",2007,2007-03-16,I Think I Love My Wife,12550605.0,11000000.0,14434,2007-03-16,1
23829273,06_w90f,Due Date,2010-10-31,211780824.0,95.0,"{""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/07s9rl0"": ""Drama"", ""/m/04228s"": ""Road movie"", ""/m/0556j8"": ""Buddy film"", ""/m/01z4y"": ""Comedy""}","['English Language', 'Spanish Language']",['United States of America'],"['Drama', 'Road movie', 'Buddy film', 'Comedy']",2010,2010-10-31,Due Date,100539043.0,65000000.0,41733,2010-11-04,2
